Inst       Level   Arg     Top     Counter   Base         Stack
JMP        0       27      0       0       1              
INT        0       5       0       27      1              0 0 0 0 0 0 
LIT        0       6       5       28      1              0 0 0 0 0 0 6 
STO        0       3       6       29      1              0 0 0 0 6 0 
LIT        0       5       5       30      1              0 0 0 0 6 0 5 
STO        0       8       6       31      1              0 0 0 0 6 0 
CAL        0       1       5       32      1              0 0 0 0 6 0 
INT        0       5       5       1       6              0 0 0 0 6 0 1 1 33 5 0 
LIT        0       4       10      2       6              0 0 0 0 6 0 1 1 33 5 0 4 
STO        0       8       11      3       6              0 0 0 0 6 0 1 1 33 5 0 
CAL        0       10      10      4       6              0 0 0 0 6 0 1 1 33 5 0 
INT        0       5       10      10      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 
LIT        0       3       15      11      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 3 
STO        0       8       16      12      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 
CAL        0       19      15      13      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 
INT        0       5       15      19      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 11 11 14 3 0 
LIT        0       2       20      20      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 11 11 14 3 0 2 
STO        0       4       21      21      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 11 11 14 3 2 
LOD        0       3       20      22      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 11 11 14 0 2 3 
LOD        0       4       21      23      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 11 11 14 0 0 3 2 
OPR        0       4       22      24      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 0 11 11 14 0 0 6 
STO        1       4       21      25      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 6 11 11 14 0 0 
OPR        0       0       20      26      16             0 0 0 0 6 0 1 1 33 5 0 6 6 5 4 6 
LOD        0       3       15      14      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 0 6 4 
LOD        0       4       16      15      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 0 0 4 6 
OPR        0       4       17      16      11             0 0 0 0 6 0 1 1 33 5 0 6 6 5 0 0 24 
STO        1       4       16      17      11             0 0 0 0 6 0 1 1 33 5 24 6 6 5 0 0 
OPR        0       0       15      18      11             0 0 0 0 6 0 1 1 33 5 24 
LOD        0       3       10      5       6              0 0 0 0 6 0 1 1 33 0 24 5 
LOD        0       4       11      6       6              0 0 0 0 6 0 1 1 33 0 0 5 24 
OPR        0       4       12      7       6              0 0 0 0 6 0 1 1 33 0 0 120 
STO        1       4       11      8       6              0 0 0 0 6 120 1 1 33 0 0 
OPR        0       0       10      9       6              0 0 0 0 6 120 
LOD        0       3       5       33      1              0 0 0 0 0 120 6 
LOD        0       4       6       34      1              0 0 0 0 0 0 6 120 
OPR        0       4       7       35      1              0 0 0 0 0 0 720 
STO        0       4       6       36      1              0 0 0 0 0 720 
OPR        0       0       5       37      1              
