Inst       Level   Arg     Top     Counter   Base         Stack
JMP        0       75      0       0       1              
INT        0       5       0       75      1              0 0 0 0 0 0 
LIT        0       5       5       76      1              0 0 0 0 0 0 5 
STO        0       8       6       77      1              0 0 0 0 0 0 
LIT        0       4       5       78      1              0 0 0 0 0 0 4 
STO        0       9       6       79      1              0 0 0 0 0 0 
CAL        0       1       5       80      1              0 0 0 0 0 0 
INT        0       5       5       1       6              0 0 0 0 0 0 1 1 81 5 4 
LIT        0       4       10      2       6              0 0 0 0 0 0 1 1 81 5 4 4 
STO        0       8       11      3       6              0 0 0 0 0 0 1 1 81 5 4 
LIT        0       3       10      4       6              0 0 0 0 0 0 1 1 81 5 4 3 
STO        0       9       11      5       6              0 0 0 0 0 0 1 1 81 5 4 
CAL        0       25      10      6       6              0 0 0 0 0 0 1 1 81 5 4 
INT        0       5       10      25      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 
LIT        0       3       15      26      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 3 
STO        0       8       16      27      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 
LIT        0       2       15      28      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 2 
STO        0       9       16      29      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 
CAL        0       61      15      30      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 
INT        0       5       15      61      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 3 2 
LIT        0       1       20      62      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 3 2 1 
STO        0       3       21      63      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 1 2 
LIT        0       0       20      64      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 1 2 0 
STO        0       4       21      65      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 1 0 
LOD        0       3       20      66      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 0 0 1 
LOD        0       4       21      67      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 0 0 1 0 
OPR        0       2       22      68      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 4 3 11 11 31 0 0 1 
STO        1       3       21      69      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 3 11 11 31 0 0 
OPR        3       0       20      70      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 3 
CAL        0       71      15      31      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 3 
INT        0       5       15      71      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 3 11 11 32 0 0 
LIT        0       1       20      72      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 3 11 11 32 0 0 1 
STO        1       4       21      73      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 1 11 11 32 0 0 
OPR        3       0       20      74      16             0 0 0 0 0 0 1 1 81 5 4 6 6 7 1 1 
LOD        0       3       15      32      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 0 1 1 
LOD        0       4       16      33      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 0 0 1 1 
OPR        0       2       17      34      11             0 0 0 0 0 0 1 1 81 5 4 6 6 7 0 0 2 
STO        1       3       16      35      11             0 0 0 0 0 0 1 1 81 2 4 6 6 7 0 0 
OPR        2       0       15      36      11             0 0 0 0 0 0 1 1 81 2 4 
CAL        0       37      10      7       6              0 0 0 0 0 0 1 1 81 2 4 
INT        0       5       10      37      11             0 0 0 0 0 0 1 1 81 2 4 6 6 8 0 0 
LIT        0       1       15      38      11             0 0 0 0 0 0 1 1 81 2 4 6 6 8 0 0 1 
STO        0       3       16      39      11             0 0 0 0 0 0 1 1 81 2 4 6 6 8 1 0 
LIT        0       0       15      40      11             0 0 0 0 0 0 1 1 81 2 4 6 6 8 1 0 0 
